name,code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Antigua and Barbuda,ATG,0.6626429823,0.849084497,1.7967940641,1.4468212852,1.5401350716,2.4735854955,5.6134484926,8.9128472222,15.3134328358,19.083310575,6.8860770813,6.2382237344,5.4069908639,4.710273171,6.0532040972,9.8832688629,5.5802725323,6.3905180103,6.7014620043,5.5358094875,1.9472917404,1.4554375496,4.0492491166,1.1773056575,2.0739483917,3.5733570262,3.6238864102,4.0537254035,4.2653523815,4.2929443019,4.5084262924,4.304054556,4.2336066173,4.3518687981,4.3460589244,4.3833249569,4.2668852806,4.3397007937,4.1789958798,4.2571274945,4.1239710949,4.0525529939,4.2082975912,4.4528427251,4.6119514599,4.6015708155,4.7106012115,5.1364725709,5.1945003136,5.4467573546,5.5395675093,5.363407474,5.4184465317,5.3604534675,,,
Australia,AUS,8.5829366426,8.6415690165,8.8356880469,9.2264399087,9.7590734306,10.6223213909,10.3280924384,10.9556247987,11.2101677076,11.6005543505,11.8028905413,11.8091175698,11.951631555,12.779686846,12.5596687313,12.6598998057,12.4167917765,13.2318961387,14.0698586154,14.1290919802,15.0249160087,15.4325008374,15.4249318092,14.6400841304,15.2209752959,15.3084102043,14.9805731534,15.7469578022,15.7961677817,16.5198629151,15.4528816708,15.1279662115,15.3177685053,15.7014518028,15.5765862784,15.5965188136,16.5018003932,16.5142732084,16.9356958474,17.1902976857,17.2006098261,16.7333674342,17.3704517744,16.9019589453,17.0265153472,17.1697114461,17.6513983061,17.8652600396,18.1608756565,18.200181959,16.9209536691,16.8626009533,16.519385783,16.3473020462,,,
Austria,AUT,4.373318828,4.496361641,4.7553616731,5.1551937474,5.3910039881,5.2521965333,5.3617246826,5.4177367271,5.7111101042,6.0063251784,6.7888073072,6.953651912,7.4485168144,7.9308669853,7.5626972783,7.1768448547,7.7212500124,7.4280632839,7.601371804,8.1588464022,6.9284789997,7.4161606139,7.1121249409,6.8743732734,7.2142786672,7.2307663531,7.1443048516,7.6234198146,7.0320306983,7.1024489974,7.5132461562,7.9440961839,7.2262364284,7.2230173093,7.189264701,7.521516107,7.9380082993,7.8636679957,7.9810042612,7.7411306148,7.7554934953,8.1727074604,8.2791518193,8.8683408068,8.8363759712,9.0201695976,8.7272978716,8.4050927932,8.2867233247,7.5556702048,8.1105930073,7.7765381583,7.3840322012,7.3600557824,,,
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6186370902,6.4645858572,5.5253585626,4.3374144437,4.0264727554,3.803022741,4.0029756098,3.5798353951,3.6662710285,3.5471054838,3.6239443462,3.7181699275,3.8632296394,4.0918019269,4.6162998627,3.5553401,4.0513834813,3.5656682176,3.3882258791,3.6461798772,3.8248771701,3.785068836,,,
Burundi,BDI,,,0.0152069915,0.0161600664,0.0158330231,0.0119140602,0.0151205799,0.0147404641,0.0165865909,0.0216230368,0.0180399617,0.0209220598,0.0206938565,0.0204946779,0.0253344885,0.0209742955,0.0235336965,0.0259104877,0.0262345647,0.0274112889,0.0356294681,0.0373368978,0.0363874808,0.0461597113,0.0481308129,0.0491318072,0.0499883819,0.0536698414,0.0499790107,0.0569493624,0.054171287,0.0608735255,0.0544109586,0.0565483441,0.0568323118,0.0541249347,0.0528096483,0.0497964937,0.0474205154,0.0455532303,0.0452595386,0.0313235748,0.0315484422,0.0232051457,0.0275696973,0.0207474072,0.0243659628,0.0235550451,0.0232194192,0.0224623988,0.0242600317,0.0267619601,0.0302969728,0.0305577413,,,
Belgium,BEL,9.9415940741,10.1038719949,10.6411896304,11.3869287399,11.0536547171,11.1416555549,11.042019428,11.2172567535,12.3256871263,12.8154496066,13.0101788101,12.5634251758,13.4726952569,14.2554864028,13.8369655456,12.4583038967,13.241679786,12.8754387175,13.8070579359,14.2392338153,13.7232962737,12.5795550697,11.9266847823,10.3120794235,10.6969663854,10.5974402504,10.4315417139,10.4471727823,10.1351438506,10.8135149421,10.639671673,11.0909998775,11.1464825143,10.6750345457,11.1051094038,11.0811520507,11.6238342475,11.3288520215,11.601914553,11.1730267457,11.2296676991,11.1337155145,10.3854951013,10.8821141749,10.661290222,10.3553929875,10.1510389973,9.7447771911,9.7519848089,9.2862975968,9.8894293524,8.9536221151,8.2848378801,8.3716392748,,,
Benin,BEN,0.0663540633,0.0520486304,0.0542088045,0.0475885607,0.0553035327,0.0571149951,0.0423826477,0.0522840763,0.0551707092,0.0707502576,0.0969526223,0.0985563259,0.1277126477,0.1224816334,0.1277014079,0.1358911418,0.077784148,0.086510056,0.1030191224,0.1013396062,0.1390971345,0.1123101111,0.1251053412,0.112552906,0.1208565973,0.1739864032,0.1556880613,0.1188572746,0.1184965841,0.1308551673,0.1421575914,0.1595122166,0.1685011618,0.2052067428,0.2213976711,0.2247804526,0.2075912757,0.1938099276,0.1875930893,0.2344116188,0.2328609686,0.2564975957,0.2850002344,0.3130372692,0.3236421555,0.2999854051,0.4712670089,0.5317389868,0.5072373931,0.5210631853,0.553283259,0.5608561515,0.5664929963,0.5794947669,,,
Burkina Faso,BFA,0.0091119022,0.0187299012,0.0170031163,0.0175042031,0.021575284,0.0198412714,0.0195336585,0.019216851,0.0188949623,0.0218898682,0.0254263414,0.0262689134,0.0276984048,0.0284432145,0.0339984447,0.0357491902,0.0333149135,0.0389683596,0.0533417019,0.0610098902,0.0634201901,0.0797954521,0.0804272829,0.0809238098,0.0618369454,0.061686819,0.0605718743,0.0635187178,0.0662633784,0.0957371731,0.0661730507,0.0692874232,0.0678408448,0.0656433997,0.065745043,0.062147134,0.0682298659,0.0756398219,0.0785638329,0.0825527504,0.0897168508,0.0835042685,0.0817334928,0.0851940173,0.084705971,0.0838753443,0.098375847,0.1155262822,0.1305566217,0.1276333376,0.1257172521,0.1374962194,0.1586630094,0.179132409,,,
Bangladesh,BGD,,,,,,,,,,,,,0.0519149459,0.0663027432,0.0666923615,0.0682941303,0.0763046428,0.0775725792,0.0781156247,0.0839038555,0.0937557429,0.0947396186,0.0999811865,0.0932334832,0.1005539347,0.1098134316,0.1197279188,0.1206252343,0.1341505812,0.1298679801,0.1462812944,0.146609266,0.1595753528,0.1531046019,0.1632726877,0.1922051673,0.1981522334,0.2023658137,0.1901824675,0.1955851696,0.2118022247,0.2420200159,0.2467562183,0.2566021604,0.2668230415,0.2752465938,0.2995291729,0.3018051798,0.3330481765,0.3577437138,0.3942982194,0.4130356742,0.4333231298,0.4375835225,,,
Bulgaria,BGR,2.8339011213,3.2699200742,3.8358918181,4.2597809274,5.2629879155,5.6456519418,5.9054367147,6.6383691611,7.1122144025,7.8699328162,7.2134243721,7.5325526759,7.7156567011,7.9835502212,8.210958036,8.3778774788,8.3479461727,8.6287664625,9.2365295474,8.9681320063,8.7442386675,9.0364315305,10.107275314,10.1083366202,9.7499614706,9.9927834763,10.2172999377,10.2141340013,9.7188434913,9.7712618672,8.6902243089,6.7393977805,6.3767647788,8.0353328542,6.4362354832,6.9003263952,6.7632410384,6.2098495826,5.9343252932,5.3567180765,5.3280343425,5.800066474,5.6952669468,6.084370085,6.0648918083,6.2562820441,6.4453332723,6.925435282,6.7720875412,5.731193724,5.9653960416,6.714881535,6.1420431028,5.4456485548,,,
